NoUniversite;NomUniversite;NoDiplome;Formation;NoDiplomePR;FormationsPR;Quota
2;Capitole;1;M1Miage;16;L3 Informatique;20
2;Capitole;1;M1Miage;17;L3 Informatique Statistiques;20
2;Capitole;1;M1Miage;15;L3 Miage;20
2;Capitole;5;M1 SIAD;16;L3 Informatique;20
2;Capitole;5;M1 SIAD;17;L3 Informatique Statistiques;20
2;Capitole;5;M1 SIAD;15;L3 Miage;20
2;Capitole;6;M1 Psycologie;22;L3 Psycologie;20
2;Capitole;7;M1 Lettres;23;L3 Lettres;20
2;Capitole;7;M1 Lettres;22;L3 Psycologie;20
2;Capitole;13;M1 Langues Etrangeres;24;L3 Langues Etrangeres;20
2;Capitole;13;M1 Langues Etrangeres;23;L3 Lettres;20
2;Capitole;14;M1 Relations internationnale;24;L3 Langues Etrangeres;20
2;Capitole;14;M1 Relations internationnale;23;L3 Lettres;20
2;Capitole;14;M1 Relations internationnale;22;L3 Psycologie;20
